fecha,location,vacunados
2020-12-27,Austria,0.0
2020-12-28,Austria,0.0
2020-12-29,Austria,0.0
2020-12-30,Austria,0.0
2020-12-31,Austria,0.0
2021-01-01,Austria,0.0
2021-01-02,Austria,0.0
2021-01-03,Austria,0.0
2021-01-04,Austria,0.0
2021-01-05,Austria,0.0
2021-01-06,Austria,0.0
2021-01-07,Austria,0.0
2021-01-08,Austria,0.0
2021-01-09,Austria,0.0
2021-01-10,Austria,0.0
2021-01-11,Austria,0.0
2021-01-12,Austria,0.0
2021-01-13,Austria,0.0
2021-01-14,Austria,0.0
2021-01-15,Austria,0.0
2021-01-16,Austria,12.0
2021-01-17,Austria,388.0
2021-01-18,Austria,1280.0
2021-01-19,Austria,2761.0
2021-01-20,Austria,4070.0
2021-01-21,Austria,4241.0
2021-01-22,Austria,4804.0
2021-01-23,Austria,4806.0
2021-01-24,Austria,4815.0
2021-01-25,Austria,4928.0
2021-01-26,Austria,5842.0
2021-01-27,Austria,6372.0
2021-01-28,Austria,9047.0
2021-01-29,Austria,18816.0
2021-01-30,Austria,21200.0
2021-01-31,Austria,22212.0
2021-02-01,Austria,25337.0
2021-02-02,Austria,39820.0
2021-02-03,Austria,54980.0
2021-02-04,Austria,72915.0
2021-02-05,Austria,90127.0
2021-02-06,Austria,96546.0
2021-02-07,Austria,100949.0
2021-02-08,Austria,108704.0
2021-02-09,Austria,125566.0
2021-02-10,Austria,144079.0
2021-02-11,Austria,163637.0
2021-02-12,Austria,182061.0
2021-02-13,Austria,187198.0
2021-02-14,Austria,188784.0
2021-02-15,Austria,192022.0
2021-02-16,Austria,199701.0
2021-02-17,Austria,209341.0
2021-02-18,Austria,217477.0
2021-02-19,Austria,225995.0
2021-02-20,Austria,227703.0
2021-02-21,Austria,228088.0
2021-02-22,Austria,229944.0
2021-02-23,Austria,234437.0
2021-02-24,Austria,237937.0
2021-02-25,Austria,241637.0
2021-02-26,Austria,246637.0
2021-02-27,Austria,248604.0
2021-02-28,Austria,249111.0
2021-03-01,Austria,250000.0
2021-03-02,Austria,252417.0
2021-03-03,Austria,254824.0
2021-03-04,Austria,257634.0
2021-03-05,Austria,260784.0
2021-03-06,Austria,263326.0
2021-03-07,Austria,263988.0
2021-03-08,Austria,265390.0
2021-03-09,Austria,268970.0
2021-03-10,Austria,273517.0
2021-03-11,Austria,278992.0
2021-03-12,Austria,284429.0
2021-03-13,Austria,290236.0
2021-03-14,Austria,294486.0
2021-03-15,Austria,296825.0
2021-03-16,Austria,303292.0
2021-03-17,Austria,311511.0
2021-03-18,Austria,319720.0
2021-03-19,Austria,328401.0
2021-03-20,Austria,338094.0
2021-03-21,Austria,341985.0
2021-03-22,Austria,344600.0
2021-03-23,Austria,361400.0
2021-03-24,Austria,379528.0
2021-03-25,Austria,396162.0
2021-03-26,Austria,415079.0
2021-03-27,Austria,429839.0
2021-03-28,Austria,434550.0
2021-03-29,Austria,440223.0
2021-03-30,Austria,452106.0
2021-03-31,Austria,465348.0
2021-04-01,Austria,484642.0
2021-04-02,Austria,504074.0
2021-04-03,Austria,513185.0
2021-04-04,Austria,514973.0
2021-04-05,Austria,519777.0
2021-04-06,Austria,531913.0
2021-04-07,Austria,548229.0
2021-04-08,Austria,574187.0
2021-04-09,Austria,607710.0
2021-04-10,Austria,636689.0
2021-04-11,Austria,652390.0
2021-04-12,Austria,659522.0
2021-04-13,Austria,671226.0
2021-04-14,Austria,685078.0
2021-04-15,Austria,704280.0
2021-04-16,Austria,723030.0
2021-04-17,Austria,745041.0
2021-04-18,Austria,749380.0
2021-04-19,Austria,755182.0
2021-04-20,Austria,767988.0
2021-04-21,Austria,778870.0
2021-04-22,Austria,789578.0
2021-04-23,Austria,801084.0
2021-04-24,Austria,806969.0
2021-04-25,Austria,808806.0
2021-04-26,Austria,812369.0
2021-04-27,Austria,823813.0
2021-04-28,Austria,838352.0
2021-04-29,Austria,853711.0
2021-04-30,Austria,867541.0
2021-05-01,Austria,875742.0
2021-05-02,Austria,877146.0
2021-05-03,Austria,889501.0
2021-05-04,Austria,911481.0
2021-05-05,Austria,929799.0
2021-05-06,Austria,950710.0
2021-05-07,Austria,974180.0
2021-05-08,Austria,993868.0
2021-05-09,Austria,1000032.0
2021-05-10,Austria,1011337.0
2021-05-11,Austria,1029435.0
2021-05-12,Austria,1053738.0
2021-05-13,Austria,1062355.0
2021-05-14,Austria,1086824.0
2021-05-15,Austria,1103820.0
2021-05-16,Austria,1111045.0
2021-05-17,Austria,1129788.0
2021-05-18,Austria,1157703.0
2021-05-19,Austria,1191449.0
2021-05-20,Austria,1228179.0
2021-05-21,Austria,1269997.0
2021-05-22,Austria,1290231.0
2021-05-23,Austria,1301864.0
2021-05-24,Austria,1314856.0
2021-05-25,Austria,1333759.0
2021-05-26,Austria,1379628.0
2021-05-27,Austria,1427364.0
2021-05-28,Austria,1484366.0
2021-05-29,Austria,1522129.0
2021-05-30,Austria,1546380.0
2021-05-31,Austria,1571732.0
2021-06-01,Austria,1612785.0
2021-06-02,Austria,1685754.0
2021-06-03,Austria,1724485.0
2021-06-04,Austria,1774739.0
2021-06-05,Austria,1804873.0
2021-06-06,Austria,1834772.0
2021-06-07,Austria,1869528.0
2021-06-08,Austria,1915926.0
2021-06-09,Austria,1975455.0
2021-06-10,Austria,2049427.0
2021-06-11,Austria,2129483.0
2021-06-12,Austria,2171831.0
2021-06-13,Austria,2192507.0
2021-06-14,Austria,2224071.0
2021-06-15,Austria,2266334.0
2021-06-16,Austria,2339828.0
2021-06-17,Austria,2415908.0
2021-06-18,Austria,2491095.0
2021-06-19,Austria,2527911.0
2021-06-20,Austria,2545832.0
2021-06-21,Austria,2579122.0
2021-06-22,Austria,2637367.0
2021-06-23,Austria,2715666.0
2021-06-24,Austria,2794323.0
2021-06-25,Austria,2883562.0
2021-06-26,Austria,2934552.0
2021-06-27,Austria,2954092.0
2021-06-28,Austria,2992178.0
2021-06-29,Austria,3056238.0
2021-06-30,Austria,3141153.0
2021-07-01,Austria,3231568.0
2021-07-02,Austria,3321145.0
2021-07-03,Austria,3372263.0
2021-07-04,Austria,3398878.0
2021-07-05,Austria,3431016.0
2021-07-06,Austria,3489030.0
2021-07-07,Austria,3560487.0
2021-07-08,Austria,3634870.0
2021-07-09,Austria,3705065.0
2021-07-10,Austria,3746343.0
2021-07-11,Austria,3767804.0
2021-07-12,Austria,3797120.0
2021-07-13,Austria,3852803.0
2021-07-14,Austria,3919878.0
2021-07-15,Austria,3968577.0
2021-07-16,Austria,4034215.0
2021-07-17,Austria,4074362.0
2021-07-18,Austria,4096850.0
2021-07-19,Austria,4118499.0
2021-07-20,Austria,4154848.0
2021-07-21,Austria,4212381.0
2021-07-22,Austria,4266888.0
2021-07-23,Austria,4324092.0
2021-07-24,Austria,4367061.0
2021-07-25,Austria,4390626.0
2021-07-26,Austria,4413584.0
2021-07-27,Austria,4461022.0
2021-07-28,Austria,4510362.0
2021-07-29,Austria,4547606.0
2021-07-30,Austria,4594947.0
2021-07-31,Austria,4626060.0
2021-08-01,Austria,4651366.0
2021-08-02,Austria,4675228.0
2021-08-03,Austria,4715080.0
2021-08-04,Austria,4753031.0
2021-08-05,Austria,4786360.0
2021-08-06,Austria,4825710.0
2021-08-07,Austria,4851326.0
2021-08-08,Austria,4873384.0
2021-08-09,Austria,4885567.0
2021-08-10,Austria,4921332.0
2021-08-11,Austria,4955236.0
2021-08-12,Austria,4980634.0
2021-08-13,Austria,5002512.0
2021-08-14,Austria,5016777.0
2021-08-15,Austria,5024601.0
2021-08-16,Austria,5044604.0
2021-08-17,Austria,5064798.0
2021-08-18,Austria,5084765.0
2021-08-19,Austria,5104405.0
2021-08-20,Austria,5124067.0
2021-08-21,Austria,5136679.0
2021-08-22,Austria,5141627.0
2021-08-23,Austria,5147791.0
2021-08-24,Austria,5159301.0
2021-08-25,Austria,5169041.0
2021-08-26,Austria,5184178.0
2021-08-27,Austria,5196153.0
2021-08-28,Austria,5201310.0
2021-08-29,Austria,5203583.0
2021-08-30,Austria,5209323.0
2021-08-31,Austria,5218766.0
2021-09-01,Austria,5226734.0
2021-09-02,Austria,5235801.0
2021-09-03,Austria,5244499.0
2021-09-04,Austria,5252626.0
2021-09-05,Austria,5253961.0
2021-09-06,Austria,5257779.0
2021-09-07,Austria,5264796.0
2021-09-08,Austria,5272178.0
2021-09-09,Austria,5280367.0
2021-09-10,Austria,5289648.0
2021-09-11,Austria,5297246.0
2021-09-12,Austria,5299078.0
2021-09-13,Austria,5303451.0
2021-09-14,Austria,5311999.0
2021-09-15,Austria,5319258.0
2021-09-16,Austria,5327260.0
2021-09-17,Austria,5336849.0
2021-09-18,Austria,5343018.0
2021-09-19,Austria,5345434.0
2021-09-20,Austria,5349858.0
2021-09-21,Austria,5359070.0
2021-09-22,Austria,5366595.0
2021-09-23,Austria,5373824.0
2021-09-24,Austria,5384110.0
2021-09-25,Austria,5389590.0
2021-09-26,Austria,5390769.0
2021-09-27,Austria,5394772.0
2020-12-28,Belgium,5394772.0
2020-12-29,Belgium,11.0
2020-12-30,Belgium,20.0
2020-12-31,Belgium,20.0
2021-01-01,Belgium,20.0
2021-01-02,Belgium,33.0
2021-01-03,Belgium,33.0
2021-01-04,Belgium,36.0
2021-01-05,Belgium,55.0
2021-01-06,Belgium,79.0
2021-01-07,Belgium,95.0
2021-01-08,Belgium,131.0
2021-01-09,Belgium,143.0
2021-01-10,Belgium,145.0
2021-01-11,Belgium,158.0
2021-01-12,Belgium,185.0
2021-01-13,Belgium,322.0
2021-01-14,Belgium,346.0
