date,location,people_fully_vaccinated
2021-02-15,Australia,
2021-02-16,Australia,
2021-02-17,Australia,
2021-02-18,Australia,
2021-02-19,Australia,
2021-02-20,Australia,
2021-02-21,Australia,
2021-02-22,Australia,
2021-02-23,Australia,
2021-02-24,Australia,
2021-02-25,Australia,
2021-02-26,Australia,
2021-02-27,Australia,
2021-02-28,Australia,
2021-03-01,Australia,
2021-03-02,Australia,
2021-03-03,Australia,
2021-03-04,Australia,
2021-03-05,Australia,
2021-03-06,Australia,
2021-03-07,Australia,
2021-03-08,Australia,
2021-03-09,Australia,
2021-03-10,Australia,
2021-03-11,Australia,
2021-03-12,Australia,
2021-03-13,Australia,
2021-03-14,Australia,
2021-03-15,Australia,
2021-03-16,Australia,
2021-03-17,Australia,
2021-03-18,Australia,
2021-03-19,Australia,
2021-03-20,Australia,
2021-03-21,Australia,
2021-03-22,Australia,
2021-03-23,Australia,
2021-03-24,Australia,
2021-03-25,Australia,
2021-03-26,Australia,
2021-03-27,Australia,
2021-03-28,Australia,
2021-03-29,Australia,
2021-03-30,Australia,
2021-03-31,Australia,
2021-04-01,Australia,
2021-04-02,Australia,
2021-04-03,Australia,
2021-04-04,Australia,
2021-04-05,Australia,
2021-04-06,Australia,
2021-04-07,Australia,
2021-04-08,Australia,
2021-04-09,Australia,
2021-04-10,Australia,
2021-04-11,Australia,
2021-04-12,Australia,
2021-04-13,Australia,
2021-04-14,Australia,
2021-04-15,Australia,
2021-04-16,Australia,
2021-04-17,Australia,
2021-04-18,Australia,
2021-04-19,Australia,
2021-04-20,Australia,
2021-04-21,Australia,
2021-04-22,Australia,
2021-04-23,Australia,
2021-04-24,Australia,
2021-04-25,Australia,
2021-04-26,Australia,
2021-04-27,Australia,
2021-04-28,Australia,
2021-04-29,Australia,
2021-04-30,Australia,
2021-05-01,Australia,
2021-05-02,Australia,
2021-05-03,Australia,
2021-05-04,Australia,
2021-05-05,Australia,
2021-05-06,Australia,
2021-05-07,Australia,
2021-05-08,Australia,
2021-05-09,Australia,
2021-05-10,Australia,
2021-05-11,Australia,
2021-05-12,Australia,
2021-05-13,Australia,
2021-05-14,Australia,
2021-05-15,Australia,
2021-05-16,Australia,
2021-05-17,Australia,
2021-05-18,Australia,
2021-05-19,Australia,
2021-05-20,Australia,
2021-05-21,Australia,
2021-05-22,Australia,
2021-05-23,Australia,
2021-05-24,Australia,416293.0
2021-05-25,Australia,419237.0
2021-05-26,Australia,472882.0
2021-05-27,Australia,481681.0
2021-05-28,Australia,491319.0
2021-05-29,Australia,496024.0
2021-05-30,Australia,497821.0
2021-05-31,Australia,499237.0
2021-06-01,Australia,502968.0
2021-06-02,Australia,540631.0
2021-06-03,Australia,548892.0
2021-06-04,Australia,557475.0
2021-06-05,Australia,564816.0
2021-06-06,Australia,568490.0
2021-06-07,Australia,575984.0
2021-06-08,Australia,635116.0
2021-06-09,Australia,649574.0
2021-06-10,Australia,656482.0
2021-06-11,Australia,668997.0
2021-06-12,Australia,683397.0
2021-06-13,Australia,693242.0
2021-06-14,Australia,694872.0
2021-06-15,Australia,698892.0
2021-06-16,Australia,778333.0
2021-06-17,Australia,800566.0
2021-06-18,Australia,821007.0
2021-06-19,Australia,821007.0
2021-06-20,Australia,821007.0
2021-06-21,Australia,821007.0
2021-06-22,Australia,1087344.0
2021-06-23,Australia,1114401.0
2021-06-24,Australia,1130791.0
2021-06-25,Australia,1169716.0
2021-06-26,Australia,1169716.0
2021-06-27,Australia,1169716.0
2021-06-28,Australia,1169716.0
2021-06-29,Australia,1477360.0
2021-06-30,Australia,1501475.0
2021-07-01,Australia,1501475.0
2021-07-02,Australia,1726030.0
2021-07-03,Australia,1807994.0
2021-07-04,Australia,1855470.0
2021-07-05,Australia,1877342.0
2021-07-06,Australia,1943939.0
2021-07-07,Australia,2023638.0
2021-07-08,Australia,2099169.0
2021-07-09,Australia,2180230.0
2021-07-10,Australia,2254272.0
2021-07-11,Australia,2303513.0
2021-07-12,Australia,2325386.0
2021-07-13,Australia,2400432.0
2021-07-14,Australia,2488298.0
2021-07-15,Australia,2578152.0
2021-07-16,Australia,2669571.0
2021-07-17,Australia,2753119.0
2021-07-18,Australia,2801465.0
2021-07-19,Australia,2827855.0
2021-07-20,Australia,2906341.0
2021-07-21,Australia,2994218.0
2021-07-22,Australia,3089644.0
2021-07-23,Australia,3182918.0
2021-07-24,Australia,3271447.0
2021-07-25,Australia,3326691.0
2021-07-26,Australia,3358477.0
2021-07-27,Australia,3444461.0
2021-07-28,Australia,3544484.0
2021-07-29,Australia,3656540.0
2021-07-30,Australia,3762007.0
2021-07-31,Australia,3865785.0
2021-08-01,Australia,3927056.0
2021-08-02,Australia,3964723.0
2021-08-03,Australia,4061924.0
2021-08-04,Australia,4174026.0
2021-08-05,Australia,4289820.0
2021-08-06,Australia,4408805.0
2021-08-07,Australia,4526588.0
2021-08-08,Australia,4611321.0
2021-08-09,Australia,4651958.0
2021-08-10,Australia,4761140.0
2021-08-11,Australia,4892237.0
2021-08-12,Australia,5023297.0
2021-08-13,Australia,5158400.0
2021-08-14,Australia,5295788.0
2021-08-15,Australia,5372888.0
2021-08-16,Australia,5409686.0
2021-08-17,Australia,5542237.0
2021-08-18,Australia,5671442.0
2021-08-19,Australia,5815832.0
2021-08-20,Australia,5958723.0
2021-08-21,Australia,6103421.0
2021-08-22,Australia,6190566.0
2021-08-23,Australia,6240640.0
2021-08-24,Australia,6368421.0
2021-08-25,Australia,6508204.0
2021-08-26,Australia,6661200.0
2021-08-27,Australia,6808469.0
2021-08-28,Australia,6950122.0
2021-08-29,Australia,7044253.0
2021-08-30,Australia,7095576.0
2021-08-31,Australia,7222529.0
2021-09-01,Australia,7369320.0
2021-09-02,Australia,7512554.0
2021-09-03,Australia,7653638.0
2021-09-04,Australia,7793356.0
2021-09-05,Australia,7879487.0
2021-09-06,Australia,7924726.0
2021-09-07,Australia,8046566.0
2021-09-08,Australia,8186949.0
2021-09-09,Australia,8330598.0
2021-09-10,Australia,8482722.0
2021-09-11,Australia,8631565.0
2021-09-12,Australia,8720390.0
2021-09-13,Australia,8773858.0
2021-09-14,Australia,8921250.0
2021-09-15,Australia,9066250.0
2021-09-16,Australia,9215782.0
2021-09-17,Australia,9360385.0
2021-09-18,Australia,9529749.0
2021-09-19,Australia,9633085.0
2021-09-20,Australia,9695905.0
2021-09-21,Australia,9853616.0
2021-09-22,Australia,10018707.0
2021-09-23,Australia,10183666.0
2021-09-24,Australia,10355227.0
2021-09-25,Australia,10522536.0
2021-09-26,Australia,10634837.0
2020-12-27,Austria,10634837.0
2020-12-28,Austria,10634837.0
2020-12-29,Austria,10634837.0
2020-12-30,Austria,10634837.0
2020-12-31,Austria,10634837.0
2021-01-01,Austria,10634837.0
2021-01-02,Austria,10634837.0
2021-01-03,Austria,10634837.0
2021-01-04,Austria,10634837.0
2021-01-05,Austria,10634837.0
2021-01-06,Austria,10634837.0
2021-01-07,Austria,10634837.0
2021-01-08,Austria,10634837.0
2021-01-09,Austria,10634837.0
2021-01-10,Austria,10634837.0
